Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-12-04,Lille vs Troyes,2021_22,ligue1,Away,3,6.62,7.17,✅ Fair,loss,-1.0
2021-12-04,Marseille vs Brest,2021_22,ligue1,Draw,-6,3.0,4.2,✅ Good,loss,-1.0
2021-12-04,Marseille vs Brest,2021_22,ligue1,Away,-6,2.7,5.46,✅ Excellent,win,4.46
2021-12-04,Lens vs Paris SG,2021_22,ligue1,Home,-4,3.06,4.78,✅ Excellent,loss,-1.0
2021-12-04,Lens vs Paris SG,2021_22,ligue1,Draw,-4,3.47,4.29,✅ Good,win,3.29
2021-12-05,Nice vs Strasbourg,2021_22,ligue1,Draw,-6,3.0,3.64,✅ Good,loss,-1.0
2021-12-05,Nice vs Strasbourg,2021_22,ligue1,Away,-6,2.7,4.2,✅ Excellent,win,3.2
2021-12-05,Bordeaux vs Lyon,2021_22,ligue1,Home,-3,2.11,4.56,✅ Excellent,loss,-1.0
2021-12-05,Bordeaux vs Lyon,2021_22,ligue1,Draw,-3,3.93,4.25,✅ Fair,win,3.25
2021-12-05,Lorient vs Nantes,2021_22,ligue1,Draw,-6,3.0,3.16,✅ Fair,loss,-1.0
2021-12-05,Reims vs Angers,2021_22,ligue1,Home,2,2.29,2.43,✅ Fair,loss,-1.0
2021-12-05,Reims vs Angers,2021_22,ligue1,Draw,2,2.75,3.06,✅ Fair,loss,-1.0
2021-12-05,Montpellier vs Clermont,2021_22,ligue1,Draw,5,2.5,3.64,✅ Excellent,loss,-1.0
2021-12-05,Monaco vs Metz,2021_22,ligue1,Draw,6,3.69,4.95,✅ Good,loss,-1.0
2021-12-05,Monaco vs Metz,2021_22,ligue1,Away,6,3.43,8.47,✅ Excellent,loss,-1.0
2021-12-05,St Etienne vs Rennes,2021_22,ligue1,Home,-8,3.5,4.16,✅ Good,loss,-1.0
2021-12-10,Nantes vs Lens,2021_22,ligue1,Home,-3,2.11,2.75,✅ Good,win,1.75
2021-12-11,Reims vs St Etienne,2021_22,ligue1,Away,6,3.43,3.61,✅ Fair,loss,-1.0
2021-12-11,Brest vs Montpellier,2021_22,ligue1,Home,7,1.4,2.09,✅ Excellent,loss,-1.0
2021-12-12,Lille vs Lyon,2021_22,ligue1,Home,4,2.09,2.37,✅ Good,loss,-1.0
2021-12-12,Rennes vs Nice,2021_22,ligue1,Home,14,1.6,1.92,✅ Good,loss,-1.0
2021-12-12,Metz vs Lorient,2021_22,ligue1,Home,6,2.29,2.45,✅ Fair,win,1.45
2021-12-12,Troyes vs Bordeaux,2021_22,ligue1,Away,-1,2.79,3.16,✅ Fair,win,2.16
2021-12-12,Strasbourg vs Marseille,2021_22,ligue1,Home,8,1.8,2.48,✅ Excellent,loss,-1.0
2021-12-12,Strasbourg vs Marseille,2021_22,ligue1,Away,8,2.7,2.89,✅ Fair,win,1.89
2021-12-12,Paris SG vs Monaco,2021_22,ligue1,Draw,2,2.75,4.88,✅ Excellent,loss,-1.0
2021-12-12,Paris SG vs Monaco,2021_22,ligue1,Away,2,5.0,6.56,✅ Good,loss,-1.0
2021-12-22,Lyon vs Metz,2021_22,ligue1,Draw,0,5.21,5.41,✅ Fair,win,4.41
2021-12-22,Lyon vs Metz,2021_22,ligue1,Away,0,2.81,8.12,✅ Excellent,loss,-1.0
2021-12-22,Marseille vs Reims,2021_22,ligue1,Away,1,3.57,5.44,✅ Good,loss,-1.0
2021-12-22,Lorient vs Paris SG,2021_22,ligue1,Home,-17,7.0,7.88,✅ Fair,loss,-1.0
2021-12-22,Lorient vs Paris SG,2021_22,ligue1,Draw,-17,3.5,5.15,✅ Good,win,4.15
2021-12-22,Monaco vs Rennes,2021_22,ligue1,Draw,-6,3.0,3.49,✅ Fair,loss,-1.0
2021-12-22,Monaco vs Rennes,2021_22,ligue1,Away,-6,2.7,3.2,✅ Good,loss,-1.0
2021-12-22,Nice vs Lens,2021_22,ligue1,Draw,-2,2.69,3.45,✅ Good,loss,-1.0
2021-12-22,Nice vs Lens,2021_22,ligue1,Away,-2,2.87,3.53,✅ Good,loss,-1.0
2021-12-22,Troyes vs Brest,2021_22,ligue1,Draw,-10,3.0,3.34,✅ Fair,win,2.34
2021-12-22,Bordeaux vs Lille,2021_22,ligue1,Home,-6,3.38,4.29,✅ Good,loss,-1.0
2021-12-22,Bordeaux vs Lille,2021_22,ligue1,Draw,-6,3.0,3.82,✅ Good,loss,-1.0
2021-12-22,St Etienne vs Nantes,2021_22,ligue1,Draw,-7,2.5,3.32,✅ Good,loss,-1.0
2021-12-22,St Etienne vs Nantes,2021_22,ligue1,Away,-7,2.5,2.79,✅ Fair,win,1.79
2022-01-07,Bordeaux vs Marseille,2021_22,ligue1,Home,-7,5.0,5.44,✅ Fair,loss,-1.0
